,NOMBRE,EQUIPO,BLOQ,INTER,R,D,EE,EF,JUH,DE,DF,DAE,DAF
,AIMAR OROZ,CA OSASUNA,2,15,68,2,8,9,0,60,65,5,12
,ÁLVARO CORTÉS,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,ÁLVARO DJALÓ DIAS FERNANDES,ATHLETIC CLUB,0,1,13,1,3,2,0,25,43,7,12
,ÁLVARO FERNÁNDEZ,SEVILLA FC,0,0,38,5,0,0,0,2,0,1,0
,ÁLVARO GARCÍA,RAYO VALLECANO,0,12,36,10,13,6,0,33,32,4,6
,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0
,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,0,2,1,1,0,0,3,3,1,0
,ÁLVARO RODRÍGUEZ,GETAFE CF,0,3,11,5,2,1,0,47,48,33,21
,ÁLVARO TEJERO,RCD ESPANYOL DE BARCELONA,0,5,36,12,3,3,0,22,33,6,4
,ÁNGEL CORREA,ATLÉTICO DE MADRID,0,2,18,1,0,3,0,21,31,1,4
,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,ÉDER GABRIEL MILITÃO,REAL MADRID,8,12,44,34,17,2,0,53,41,21,12
,ÍÑIGO LEKUE,ATHLETIC CLUB,1,3,18,13,4,2,0,10,9,2,0
,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,1,3,50,4,12,4,0,32,33,1,1
,ÓSCAR DE MARCOS,ATHLETIC CLUB,1,10,47,17,10,9,0,28,36,6,6
,ÓSCAR MINGUEZA,RC CELTA,3,7,60,14,9,8,0,41,51,5,4
,ÓSCAR RODRÍGUEZ,CD LEGANÉS,0,6,18,5,5,6,0,34,32,6,10
,ÓSCAR TREJO,RAYO VALLECANO,0,1,10,1,3,0,0,12,22,1,4
,ÓSCAR VALENTÍN,RAYO VALLECANO,2,12,61,22,20,7,0,68,62,18,19
,ØRJAN NYLAND,SEVILLA FC,0,0,78,11,1,0,0,3,0,2,0
,WILLY KAMBWALA,VILLARREAL CF,1,0,2,5,2,2,0,10,0,6,0
,WOJCIECH SZCZESNY,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,YANGEL HERRERA,GIRONA FC,1,12,46,17,17,11,0,78,66,17,8
,YAREK GASIOROWSKI,VALENCIA CF,3,6,22,24,13,3,0,30,9,13,6
,JESÚS SANTIAGO PÉREZ,GETAFE CF,1,0,10,2,4,3,0,11,17,0,2
,YERAY ÁLVAREZ,ATHLETIC CLUB,3,18,31,31,7,3,0,38,31,18,16
,YEREMY PINO,VILLARREAL CF,1,3,25,4,9,4,0,32,36,5,4
,YOUSSOUF SABALY,REAL BETIS,0,6,31,15,13,4,0,30,30,3,3
,YURI BERCHICHE,ATHLETIC CLUB,2,9,47,26,8,6,0,41,27,13,7
,YVAN NEYOU,CD LEGANÉS,0,8,50,15,15,6,0,65,38,9,5
,YÁSER ASPRILLA,GIRONA FC,0,3,21,3,4,4,0,29,28,2,0
,ÁLEX BAENA,VILLARREAL CF,1,12,53,4,4,3,0,40,58,7,11
,ÁLEX GIL,,0,0,0,0,0,0,0,0,0,0,0
,ÁLEX MUÑOZ,UD LAS PALMAS,7,14,21,41,22,6,0,50,51,15,19
,ÁLEX REMIRO,REAL SOCIEDAD,0,0,97,10,0,0,0,2,1,2,0
,ÁLEX SOLA,GETAFE CF,0,4,42,9,10,7,0,77,106,18,26
,ÁLEX SUÁREZ,UD LAS PALMAS,11,4,31,54,9,8,0,38,30,15,19
,ÁLEX VALLE,,0,0,0,0,0,0,0,0,0,0,0
,ÁLVARO ACEVES,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0,0
,ÁLVARO AGUADO,RCD ESPANYOL DE BARCELONA,0,2,26,5,2,2,0,16,10,2,1
,UNAI MARRERO,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0,0,0
,UNAI NÚÑEZ,ATHLETIC CLUB,2,12,14,13,2,0,0,10,6,4,3
,UNAI SIMÓN,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0,0,0
,URKO GONZÁLEZ,REAL SOCIEDAD,1,0,0,0,0,0,0,0,5,0,2
,VALENTIN ROSIER,CD LEGANÉS,2,16,40,48,29,7,0,67,53,12,5
,VALENTÍN BARCO,SEVILLA FC,0,2,16,2,9,6,0,23,23,0,3
,VALENTÍN PEZZOLESI,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0
,VALERY FERNÁNDEZ,RCD MALLORCA,1,0,13,1,6,1,0,9,14,1,3
,VEDAT MURIQI,RCD MALLORCA,0,4,23,20,0,1,0,91,77,70,46
,VICENTE GUAITA,RC CELTA,0,0,111,10,0,0,0,9,0,6,0
,VIKTOR TSYHANKOV,GIRONA FC,0,2,20,2,3,1,0,17,24,1,8
,VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,REAL MADRID,0,0,31,0,6,5,0,90,97,1,4
,VITI ROZADA,UD LAS PALMAS,3,16,35,20,23,9,0,57,33,10,7
,VITOR HUGO ROQUE FERREIRA,REAL BETIS,0,4,24,1,3,0,0,31,65,7,13
,VÍCTOR MESEGUER,REAL VALLADOLID CF,0,2,23,3,6,4,0,24,25,8,7
,VÍCTOR PUIG,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0,0
,WALID CHEDDIRA,RCD ESPANYOL DE BARCELONA,0,1,9,5,0,3,0,31,50,9,18
,WARREN MADRIGAL,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0
,WILLIAM SILVA DE CARVALHO,REAL BETIS,1,3,16,4,2,1,0,10,14,4,1
,WILLIOT SWEDBERG,RC CELTA,1,1,16,3,5,1,0,29,26,4,6
,SÉBASTIEN HALLER,CD LEGANÉS,0,0,10,7,0,2,0,34,29,26,17
,TADEO ALLENDE,RC CELTA,0,0,1,0,0,0,0,0,1,0,0
,TAKEFUSA KUBO,REAL SOCIEDAD,1,6,53,4,12,7,0,80,83,4,8
,TAKUMA ASANO,RCD MALLORCA,0,2,15,3,3,2,0,14,13,2,4
,TANGUY NIANZOU,SEVILLA FC,0,8,9,26,5,2,0,32,13,18,3
,TASOS DOUVIKAS,RC CELTA,2,3,15,5,3,5,0,49,45,13,16
,THIBAUT COURTOIS,REAL MADRID,0,1,102,10,0,0,0,6,1,6,0
,THIERNO BARRY,VILLARREAL CF,0,0,14,6,3,1,0,65,67,38,22
,THIERRY RENDALL CORREIA,VALENCIA CF,1,4,38,16,18,9,0,53,45,4,8
,THOMAS LEMAR,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,1,2,0,0
,TOMÁS CONECHNY,DEPORTIVO ALAVÉS,1,4,26,4,2,2,0,19,37,9,11
,TONI FERNÁNDEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,3,12,9,5,2,0,10,15,2,4
,TONI MARTÍNEZ,DEPORTIVO ALAVÉS,2,0,16,7,3,2,0,49,43,36,34
,LAUREANO ANTONIO VILLA SUÁREZ,SD EIBAR,0,0,0,0,0,0,0,0,0,0,0
,UMAR SADIQ,REAL SOCIEDAD,1,1,5,2,1,1,0,17,30,9,11
,UNAI EGILUZ,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0,0
,UNAI GARCÍA,CA OSASUNA,0,0,0,0,0,0,0,0,0,0,0
,UNAI GÓMEZ,ATHLETIC CLUB,0,2,12,6,1,2,0,36,36,14,16
,UNAI LÓPEZ,RAYO VALLECANO,1,12,51,7,6,2,0,24,30,4,6
,SERGI DARDER,RCD MALLORCA,0,5,48,6,13,9,0,54,42,7,1
,SERGI DOMÍNGUEZ,FC BARCELONA,0,3,8,7,1,0,0,2,5,1,3
,SERGI GUARDIOLA,RAYO VALLECANO,0,0,2,2,2,1,0,7,7,0,2
,SERGI GÓMEZ,RCD ESPANYOL DE BARCELONA,8,6,14,30,4,2,0,14,19,7,15
,SERGIO CAMELLO,RAYO VALLECANO,1,4,18,11,2,5,0,29,44,8,13
,SERGIO CARREIRA,RC CELTA,0,1,9,7,4,2,0,9,13,0,3
,SERGIO GONZÁLEZ,CD LEGANÉS,10,23,38,85,15,4,0,51,50,24,27
,SERGIO GÓMEZ,REAL SOCIEDAD,1,7,74,9,23,14,0,62,49,8,13
,SERGIO HERRERA,CA OSASUNA,0,0,136,17,0,1,0,3,2,0,1
,SERGIO MESTRE,REAL MADRID,0,0,0,0,0,0,0,0,0,0,0
,SEYDOUBA CISSÉ,CD LEGANÉS,0,6,71,12,13,8,0,56,54,10,16
,SHERALDO BECKER,REAL SOCIEDAD,0,1,14,8,2,0,0,22,22,7,12
,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0
,SILVI CLUA,GIRONA FC,0,2,4,6,7,1,0,16,12,6,3
,STANIS IDUMBO MUZAMBO,SEVILLA FC,0,3,5,0,3,1,0,10,9,0,0
,STANKO JURIC,REAL VALLADOLID CF,4,9,34,28,12,11,0,50,49,20,11
,STIPE BIUK,,0,0,0,0,0,0,0,0,0,0,0
,JUAN DIEGO MOLINA MARTÍNEZ,DEPORTIVO ALAVÉS,0,1,34,5,8,5,0,39,41,5,13
,STOLE DIMITRIEVSKI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0
,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,0,0,12,0,0,1,0,13,15,1,1
,RODRIGO RIQUELME,ATLÉTICO DE MADRID,0,1,14,2,3,5,0,21,29,3,4
,RODRYGO SILVA DE GOES,REAL MADRID,1,0,20,3,4,2,0,43,37,4,7
,ROMAIN PERRAUD,REAL BETIS,2,14,52,30,11,8,0,46,55,5,10
,RUBÉN GARCÍA,CA OSASUNA,1,9,44,12,14,7,0,43,46,10,15
,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,RUBÉN PEÑA,CA OSASUNA,0,4,18,5,0,6,0,20,46,4,11
,RUI TIAGO DANTAS DA SILVA,REAL BETIS,0,0,129,8,0,0,0,4,2,2,0
,SALVI SÁNCHEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,1,4,40,4,3,6,0,29,41,4,5
,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,6,18,66,40,19,21,0,110,76,35,15
,SANDRO RAMÍREZ,UD LAS PALMAS,0,8,27,11,11,4,0,36,32,5,4
,SANTI COMESAÑA,VILLARREAL CF,8,9,66,14,20,11,0,58,72,9,17
,SANTIAGO MOURIÑO,DEPORTIVO ALAVÉS,0,9,24,20,9,4,0,24,25,7,9
,SAÚL ÑÍGUEZ,SEVILLA FC,1,2,16,6,6,3,0,20,25,5,7
,SCOTT MCKENNA,UD LAS PALMAS,13,3,26,55,7,1,0,34,19,24,9
,SEBAS WADE,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0
,SELIM AMALLAH,REAL VALLADOLID CF,0,7,35,2,7,5,0,41,48,2,5
,SERGI ALTIMIRA,REAL BETIS,1,5,57,11,15,8,0,49,46,6,9
,SERGI CANÓS,VALENCIA CF,0,2,17,1,4,2,0,12,19,2,3
,SERGI CARDONA,VILLARREAL CF,5,18,51,37,20,8,0,60,51,19,13
,RAPHAEL DIAS BELLOLI,FC BARCELONA,1,5,50,11,12,7,0,63,51,2,3
,RAÚL ASENCIO DEL ROSARIO,REAL MADRID,0,3,15,22,4,2,0,22,8,9,1
,RAÚL ALBIOL,VILLARREAL CF,9,6,35,52,6,0,0,30,24,22,14
,RAÚL CHASCO,REAL VALLADOLID CF,0,2,2,1,1,3,0,4,8,0,0
,RAÚL GARCÍA,CA OSASUNA,0,0,2,2,2,1,0,20,24,8,6
,RAÚL JIMÉNEZ,VALENCIA CF,0,0,0,0,0,0,0,0,0,0,0
,RAÚL MARTÍNEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,RAÚL MORO,REAL VALLADOLID CF,0,9,46,6,8,5,0,56,59,4,7
,RAÚL DE TOMÁS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0,0
,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,3,10,34,22,10,6,0,32,37,6,11
,RENATO TAPIA,CD LEGANÉS,11,10,58,30,13,12,0,52,48,12,10
,RICARD ARTERO,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,RICARDO RODRÍGUEZ,REAL BETIS,0,3,18,12,7,2,0,17,11,4,4
,ROBERT LEWANDOWSKI,FC BARCELONA,2,1,28,16,3,3,0,51,55,12,17
,ROBERT NAVARRO,RCD MALLORCA,0,11,58,4,14,6,0,57,53,4,5
,ROBERTO LÓPEZ,CD LEGANÉS,0,1,26,6,5,2,0,13,20,2,5
,ROBIN LE NORMAND,ATLÉTICO DE MADRID,2,2,23,24,8,3,0,30,25,11,8
,RODRIGO SÁNCHEZ RODRÍGUEZ,,1,1,10,1,1,1,0,6,11,0,2
,RODRIGO ABAJAS,VALENCIA CF,0,1,2,0,2,1,0,4,5,0,1
,RODRIGO DE PAUL,ATLÉTICO DE MADRID,0,2,36,7,4,1,0,27,24,3,2
,PEDRO GONZÁLEZ LÓPEZ,FC BARCELONA,2,11,91,7,11,11,0,55,48,1,3
,PEDRO DÍAZ,RAYO VALLECANO,0,1,10,1,1,0,0,3,6,1,2
,PEDRO ORTIZ,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0
,PEIO CANALES,ATHLETIC CLUB,0,1,3,1,1,0,0,2,1,0,0
,FRANCISCO JESÚS CRESPO GARCÍA,UD LAS PALMAS,0,0,2,0,1,0,0,1,1,0,0
,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0,0
,PEP CHAVARRÍA,RAYO VALLECANO,2,10,37,19,8,4,0,26,23,6,5
,JOSÉ LUIS GARCÍA VAYÁ,VALENCIA CF,3,3,51,14,11,6,0,40,40,14,11
,GERARD FERNÁNDEZ CASTELLANO,SEVILLA FC,0,6,22,2,3,5,0,30,62,4,18
,PERE GARCÍA,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0,0
,PERE MILLA,RCD ESPANYOL DE BARCELONA,2,2,10,1,1,2,0,13,20,2,3
,PETER FEDERICO GONZÁLEZ CARMONA,GETAFE CF,0,0,9,3,2,3,0,17,20,6,6
,POL LOZANO,RCD ESPANYOL DE BARCELONA,2,8,30,9,15,5,0,28,42,4,6
,POL TRISTÁN,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,CRISTIAN PORTUGUÉS MANZANERA,GIRONA FC,0,0,7,1,2,2,0,12,6,2,3
,RAFA MIR,VALENCIA CF,0,0,1,5,3,3,0,11,17,3,6
,RAFAEL BAUZA,RCD ESPANYOL DE BARCELONA,1,0,4,4,2,2,0,8,11,3,2
,RAMON TERRATS,VILLARREAL CF,1,2,10,3,3,0,0,9,13,3,2
,RAMÓN MARTÍNEZ,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0
,RANDY NTEKA,RAYO VALLECANO,1,1,9,4,3,2,0,30,50,19,28
,ORIOL ROMEU,GIRONA FC,3,2,38,7,13,8,0,39,31,7,5
,ORRI ÓSKARSSON,REAL SOCIEDAD,0,0,6,4,4,0,0,12,30,8,19
,PABLO BARRIOS,ATLÉTICO DE MADRID,1,12,50,8,10,6,0,43,38,12,5
,PABLO BUSTO,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0
,PABLO DURÁN,RC CELTA,1,2,9,2,2,1,0,10,11,2,4
,PABLO FORNALS,REAL BETIS,0,13,51,6,7,4,0,34,49,13,9
,PABLO IBÁÑEZ,CA OSASUNA,3,8,24,9,3,4,0,28,39,12,14
,PABLO MAFFEO,RCD MALLORCA,6,11,37,24,11,8,0,55,36,7,7
,PABLO MARÍN,REAL SOCIEDAD,0,0,8,1,2,1,0,10,10,3,3
,PABLO RIVERA,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0
,PABLO TORRE,FC BARCELONA,0,1,9,3,4,1,0,14,17,1,6
,PAPA DAME BA,GIRONA FC,0,0,1,0,1,0,0,6,3,0,0
,PAPE GUEYE,VILLARREAL CF,0,8,36,14,9,7,0,45,34,5,10
,PATHÉ CISS,RAYO VALLECANO,4,9,32,23,6,3,0,35,33,11,9
,PAU CABANES,VILLARREAL CF,0,0,1,0,2,0,0,3,5,0,0
,PAU CUBARSÍ,FC BARCELONA,4,9,41,34,8,4,0,53,37,31,16
,PAU LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,PAU NAVARRO,VILLARREAL CF,2,0,10,9,5,1,0,12,13,3,4
,PAU VÍCTOR,FC BARCELONA,1,2,13,3,1,0,0,10,19,0,1
,PAULO GAZZANIGA,GIRONA FC,0,0,106,4,1,0,0,3,2,0,1
,NACHO VIDAL,CA OSASUNA,0,0,5,3,0,2,0,7,7,2,1
,NACI ÜNÜVAR,RCD ESPANYOL DE BARCELONA,0,0,3,0,2,0,0,3,2,0,0
,NAHUEL MOLINA,ATLÉTICO DE MADRID,0,6,29,16,8,9,0,31,30,6,4
,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,2,10,34,32,15,13,0,68,54,15,21
,NAIM GARCÍA,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0,0
,NATAN BERNARDO DE SOUZA,REAL BETIS,5,13,28,44,10,3,0,45,24,29,12
,NAYEF AGUERD,REAL SOCIEDAD,5,7,40,38,12,3,0,55,25,27,16
,NEMANJA GUDELJ,SEVILLA FC,3,14,27,31,11,11,0,60,38,28,19
,NICO SERRANO,ATHLETIC CLUB,0,0,2,1,1,0,0,6,9,0,2
,NICHOLAS WILLIAMS ARTHUER,ATHLETIC CLUB,0,4,45,1,12,9,0,76,94,5,8
,NICOLAS PÉPÉ,VILLARREAL CF,1,3,18,3,1,3,0,30,36,7,11
,NOAH DARVICH,FC BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,NOBEL MENDY,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0
,OIER GASTESI,ATHLETIC CLUB,0,0,0,0,0,0,0,0,0,0,0
,OIHAN SANCET,ATHLETIC CLUB,0,5,40,4,5,3,0,37,48,5,4
,OLIVER MCBURNIE,UD LAS PALMAS,1,3,13,9,4,1,0,54,65,34,33
,OMAR ALDERETE,GETAFE CF,7,15,53,62,13,7,0,78,54,48,29
,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,4,12,45,53,31,16,0,77,47,14,13
,OMAR MASCARELL,RCD MALLORCA,6,14,30,21,7,7,0,32,28,9,10
,OMAR SADIK,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0,0
,MATEO FLORES,REAL BETIS,0,0,2,1,0,0,0,1,2,0,0
,MATEO MEJÍA,SEVILLA FC,0,0,0,0,0,0,0,2,0,1,0
,MATEU MOREY,RCD MALLORCA,0,7,6,7,2,1,0,12,11,4,0
,MATIJA NASTASIC,CD LEGANÉS,16,9,16,64,6,6,0,28,21,12,9
,MATÍAS ÁRBOL,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0
,MAURO ARAMBARRI,GETAFE CF,1,3,36,14,6,7,0,59,68,28,28
,MAXIMILIANO CAUFRIEZ,VALENCIA CF,1,1,1,4,1,0,0,3,7,2,5
,MIGUEL GUTIÉRREZ,GIRONA FC,3,9,79,12,15,8,0,55,55,3,7
,MIGUEL DE LA FUENTE,CD LEGANÉS,2,3,14,8,3,4,0,42,93,11,52
,MIGUEL ÁNGEL MORRO,,0,0,0,0,0,0,0,0,0,0,0
,MIHAILO RISTIC,RC CELTA,0,0,4,4,2,0,0,4,9,0,2
,MIKA MÁRMOL,UD LAS PALMAS,6,10,22,20,4,10,0,21,18,3,5
,MIKEL JAUREGIZAR,ATHLETIC CLUB,1,10,46,10,13,11,0,50,60,8,12
,MIKEL OYARZABAL,REAL SOCIEDAD,0,0,18,4,4,5,0,33,46,12,23
,MIKEL VESGA,ATHLETIC CLUB,0,6,31,4,5,3,0,13,25,3,5
,MOI GÓMEZ,CA OSASUNA,1,5,30,3,5,4,0,25,26,4,6
,MOUSSA DIARRA,DEPORTIVO ALAVÉS,1,8,25,5,10,5,0,37,32,12,9
,MUNIR EL HADDADI,CD LEGANÉS,1,0,17,1,7,3,0,31,40,5,15
,NABIL ABERDIN,GETAFE CF,0,0,8,5,4,2,0,24,12,10,3
,NABIL FEKIR,,0,0,3,0,2,1,0,10,16,0,2
,MARC BARTRA,REAL BETIS,5,11,30,34,6,2,0,32,19,18,13
,MARC BERNAL,FC BARCELONA,1,1,9,4,6,2,0,14,14,1,6
,MARC CARDONA,UD LAS PALMAS,0,0,3,0,0,1,0,3,8,0,3
,MARC CASADÓ,FC BARCELONA,5,11,49,10,15,11,0,52,43,3,12
,MARC DOMENECH,RCD MALLORCA,0,0,3,0,0,0,0,6,11,5,5
,MARC ROCA,REAL BETIS,5,8,42,8,8,6,0,25,37,3,9
,MARC VIDAL,RC CELTA,0,0,0,0,0,0,0,0,0,0,0
,MARC-ANDRÉ TER STEGEN,FC BARCELONA,0,0,41,4,0,0,0,3,1,2,0
,MARCO DE LAS SIAS,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0,0
,MARCOS ALONSO,RC CELTA,3,13,51,39,9,4,0,47,37,22,14
,MARCOS ANDRÉ DE SOUSA MENDONÇA,REAL VALLADOLID CF,1,1,15,2,0,0,0,29,24,14,11
,MARCOS LLORENTE,ATLÉTICO DE MADRID,1,7,42,15,14,5,0,34,25,4,6
,MARCOS DO NASCIMENTO TEIXEIRA,SEVILLA FC,6,6,22,23,6,3,0,30,17,13,6
,MARIO MAROTO,REAL VALLADOLID CF,0,2,1,1,0,0,0,2,2,1,1
,MARIO MARTÍN,REAL VALLADOLID CF,1,7,27,18,12,10,0,63,61,13,14
,MARKO DMITROVIC,CD LEGANÉS,0,0,89,17,0,0,0,5,1,3,0
,MARTIN VALJENT,RCD MALLORCA,6,6,37,55,7,6,0,33,18,15,13
,MARTÍN TEJÓN,VALENCIA CF,0,0,4,0,0,2,0,5,10,0,3
,MARTÍN ZUBIMENDI,REAL SOCIEDAD,6,16,66,32,23,16,0,90,51,27,12
,MARVIN PARK,UD LAS PALMAS,1,5,25,11,5,5,0,21,29,2,6
,LUCAS GARCÍA MADRIGAL,GIRONA FC,0,0,0,0,0,0,0,0,0,0,0
,LUCAS OCAMPOS,,0,0,6,1,2,1,0,10,15,3,4
,LUCAS OLIVEIRA ROSA,REAL VALLADOLID CF,8,21,60,27,25,12,0,71,55,13,7
,LUCAS TORRÓ,CA OSASUNA,4,20,72,31,19,13,0,117,84,65,21
,LUCAS VÁZQUEZ,REAL MADRID,1,3,20,7,10,7,0,32,27,2,5
,LUCIEN AGOUMÉ,SEVILLA FC,6,11,40,8,6,16,0,48,45,14,16
,LUIS MILLA,GETAFE CF,0,9,78,9,21,9,0,82,68,18,20
,LUIS PÉREZ,REAL VALLADOLID CF,4,17,45,35,16,8,0,49,42,9,17
,LUIS RIOJA,VALENCIA CF,0,11,41,8,8,6,0,43,55,4,9
,LUIZ LÚCIO REIS JÚNIOR,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0,0
,LUKA MODRIC,REAL MADRID,1,7,39,3,3,4,0,20,26,1,4
,LUKA ROMERO,DEPORTIVO ALAVÉS,0,1,9,0,4,0,0,10,15,2,4
,LUKA SUCIC,REAL SOCIEDAD,2,5,50,6,9,5,0,39,33,9,7
,MAMADOU SYLLA,REAL VALLADOLID CF,0,1,9,7,0,2,0,37,41,23,31
,MANU BUENO,SEVILLA FC,0,0,0,0,0,0,0,0,0,0,0
,MANU FUSTER,UD LAS PALMAS,1,1,14,4,1,4,0,18,21,2,3
,MANU GONZÁLEZ,REAL BETIS,0,0,0,0,0,0,0,0,0,0,0
,MANU MORLANES,RCD MALLORCA,6,22,54,13,19,11,0,46,44,8,14
,MANU SÁNCHEZ,DEPORTIVO ALAVÉS,2,12,46,23,15,5,0,32,50,3,12
,MARASH KUMBULLA,RCD ESPANYOL DE BARCELONA,17,12,27,72,10,6,0,57,40,22,17
,KIKE BARJA,CA OSASUNA,0,0,0,0,0,0,0,0,0,0,0
,KIKE GARCÍA,DEPORTIVO ALAVÉS,0,0,24,9,4,0,0,66,73,38,37
,KIKE PÉREZ,REAL VALLADOLID CF,3,5,31,10,18,11,0,56,58,9,9
,KIKE SALAS,SEVILLA FC,4,9,16,29,6,0,0,35,20,28,12
,KIKO FEMENÍA,VILLARREAL CF,7,17,54,20,15,10,0,43,32,3,6
,MIN-SU KIM,GIRONA FC,0,0,1,0,0,1,0,2,4,0,1
,KIRIAN RODRÍGUEZ,UD LAS PALMAS,3,7,76,11,11,9,0,47,47,7,9
,JORGE IGLESIAS GONZÁLEZ,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0,0
,JORGE RESURRECCIÓN MERODIO,ATLÉTICO DE MADRID,0,11,75,14,18,7,0,45,41,6,7
,KYLIAN MBAPPÉ,REAL MADRID,0,0,18,0,2,0,0,55,69,1,2
,LADISLAV KREJCÍ,GIRONA FC,5,13,27,23,3,3,0,22,19,13,6
,LALO AGUILAR,ALBACETE BP,0,0,0,0,0,0,0,0,0,0,0
,LAMINE YAMAL NASRAOUI EBANA,FC BARCELONA,0,8,49,2,14,6,0,88,88,0,1
,LEANDRO CABRERA,RCD ESPANYOL DE BARCELONA,6,12,29,44,11,8,0,39,20,19,12
,LEO ROMÁN,RCD MALLORCA,0,0,34,1,0,0,0,1,0,0,0
