,NOMBRE,EQUIPO,TA,TR,SA,FDJ,FR,FC,PR,PCOM,FPM,FPT
,LLORENÇ SERRED,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,LOGAN EVANS COSTA,VILLARREAL CF,0,0,0,2,2,5,1,1,0,0.00
,LORENZO AGUADO HERRERA,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,LOÏC BADÉ,SEVILLA FC,3,0,0,0,0,11,0,0,0,3.67
,LUCAS ALCÁZAR,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00
,JUAN CRUZ ÁLVARO ARMADA,CA OSASUNA,1,0,0,0,1,6,0,0,0,6.00
,JUAN HERZOG,UD LAS PALMAS,0,0,0,0,4,1,0,0,0,0.00
,JUAN IGLESIAS,GETAFE CF,1,0,0,0,15,20,0,0,1,20.00
,JUAN MUSSO,ATLÉTICO DE MADRID,0,0,0,0,1,0,0,0,0,0.00
,JUAN SORIANO,CD LEGANÉS,1,0,0,0,3,0,0,0,0,0.00
,JUANLU SÁNCHEZ,SEVILLA FC,1,1,1,0,3,4,0,0,0,4.00
,JUAN MIGUEL JIMÉNEZ LÓPEZ,REAL BETIS,2,0,0,0,5,4,0,0,1,2.00
,JUANMI LATASA,REAL VALLADOLID CF,4,0,0,3,13,21,0,0,5,5.25
,JUAN PEDRO RAMÍREZ LÓPEZ,GIRONA FC,1,0,0,0,2,1,0,0,0,1.00
,JUDE BELLINGHAM,REAL MADRID,2,0,0,3,19,13,0,0,0,6.50
,JULEN AGIRREZABALA,ATHLETIC CLUB,1,1,0,0,1,3,0,2,0,3.00
,JULEN LARTITEGI,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00
,JULES KOUNDÉ,FC BARCELONA,2,0,0,5,8,12,0,0,0,6.00
,JULIÁN ÁLVAREZ,ATLÉTICO DE MADRID,2,0,0,4,1,11,0,0,0,5.50
,JULIÁN CHICCO,CD LEGANÉS,0,0,0,0,3,1,0,0,0,0.00
,JUMA BAH,REAL VALLADOLID CF,1,0,0,0,4,4,0,0,0,4.00
,JUSTIN SMITH,RCD ESPANYOL DE BARCELONA,0,0,0,0,1,1,0,0,0,0.00
,KARL HEIN,REAL VALLADOLID CF,0,0,0,0,2,0,0,0,0,0.00
,KELECHI IHEANACHO,SEVILLA FC,0,0,0,6,1,4,0,0,0,0.00
,ROBERT KENEDY NUNES DO NASCIMENTO,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,JON MONCAYOLA,CA OSASUNA,4,0,0,0,4,16,0,0,1,4.00
,JON OLASAGASTI,REAL SOCIEDAD,0,0,0,0,0,1,0,0,1,0.00
,JON PACHECO,REAL SOCIEDAD,2,0,0,0,3,11,0,0,0,5.50
,JONATHAN BAMBA,RC CELTA,1,0,0,3,13,7,0,0,1,7.00
,JONI MONTIEL,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00
,JORGE HERRANDO,CA OSASUNA,2,0,0,0,0,2,0,0,0,1.00
,JORGE SÁENZ,CD LEGANÉS,2,0,0,0,5,12,0,1,0,6.00
,JORGE DE FRUTOS,RAYO VALLECANO,1,0,0,1,13,17,0,0,0,17.00
,JOSEPH AIDOO,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,JOSÉ ARNÁIZ,CA OSASUNA,0,0,0,0,4,0,0,0,0,0.00
,JOSÉ CAMPAÑA,UD LAS PALMAS,3,0,0,0,13,3,0,1,0,1.00
,JOSÉ GAYÀ,VALENCIA CF,1,0,0,1,4,3,0,0,0,3.00
,JOSÉ GRAGERA,RCD ESPANYOL DE BARCELONA,0,0,0,0,8,18,0,0,0,0.00
,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,1,0,0,0,5,4,0,0,0,4.00
,JOSÉ ÁNGEL CARMONA,SEVILLA FC,3,0,0,1,22,15,0,0,1,5.00
,JOÃO URBÁEZ,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00
,JUAN BERNAT,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,JUAN BERROCAL,GETAFE CF,1,1,1,0,1,7,0,0,0,7.00
,JUAN CARLOS MARTÍN CORRAL,GIRONA FC,0,1,0,0,0,0,0,0,0,0.00
,JUAN CRUZ,CD LEGANÉS,1,0,0,2,8,5,0,0,2,5.00
,JESÚS ARESO,CA OSASUNA,2,0,0,4,6,21,0,0,1,10.50
,JESÚS NAVAS,SEVILLA FC,0,0,0,1,4,1,0,0,1,0.00
,JESÚS OWONO,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00
,JESÚS RODRIGUEZ,REAL BETIS,0,0,0,0,6,0,0,0,0,0.00
,JESÚS VALLEJO,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,JESÚS VÁZQUEZ,VALENCIA CF,2,0,0,1,7,9,0,0,0,4.50
,JHON SOLÍS,GIRONA FC,0,0,0,0,4,2,0,0,0,0.00
,JIRÍ LETÁCEK,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,JOAN GARCÍA,RCD ESPANYOL DE BARCELONA,2,0,0,0,1,0,0,0,0,0.00
,JOAN JORDÁN,DEPORTIVO ALAVÉS,1,0,0,0,5,7,0,0,0,7.00
,JOAQUÍN PANICHELLI,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0.00
,JOEL ROCA,CD MIRANDÉS,0,0,0,0,0,0,0,0,0,0.00
,JOFRE CARRERAS,RCD ESPANYOL DE BARCELONA,4,0,0,2,26,15,0,0,4,3.75
,JOHAN MOJICA,RCD MALLORCA,3,0,0,0,10,9,0,2,1,3.00
,JOHN PATRICK,GETAFE CF,0,0,0,0,1,0,0,0,0,0.00
,JOHNNY CARDOSO,REAL BETIS,2,0,0,0,10,11,0,0,2,5.50
,JON ARAMBURU,REAL SOCIEDAD,4,0,0,3,6,20,0,1,0,5.00
,JON GURIDI,DEPORTIVO ALAVÉS,3,0,0,1,7,13,0,1,1,4.33
,JON MAGUNAZELAIA,REAL SOCIEDAD,0,0,0,0,1,1,0,0,0,0.00
,JON MARTÍN,REAL SOCIEDAD,1,0,0,0,0,6,0,0,0,6.00
,JAIME MATA,UD LAS PALMAS,3,0,0,4,6,6,0,0,0,2.00
,JAMES RODRÍGUEZ,RAYO VALLECANO,1,0,0,3,1,2,0,0,0,2.00
,JAN OBLAK,ATLÉTICO DE MADRID,0,0,0,0,1,0,0,0,0,0.00
,JAN SALAS,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
,JASPER CILLESSEN,UD LAS PALMAS,1,0,0,0,3,0,0,0,0,0.00
,ANTONINO JASTIN GARCÍA LÓPEZ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,JAUME DOMÈNECH,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00
,JAVI GALÁN,ATLÉTICO DE MADRID,3,0,0,0,6,14,0,1,3,4.67
,JAVI GUERRA,VALENCIA CF,1,0,0,0,10,8,0,0,1,8.00
,JAVI HERNÁNDEZ,CD LEGANÉS,1,0,0,2,4,19,0,0,1,19.00
,JAVI LLABRÉS,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
,JAVI LÓPEZ,REAL SOCIEDAD,1,0,0,0,7,9,0,0,0,9.00
,JAVI MARTÍNEZ,CA OSASUNA,0,0,0,0,0,0,0,0,0,0.00
,JAVI MUÑOZ,UD LAS PALMAS,1,0,0,2,11,12,0,0,0,12.00
,JAVI PUADO,RCD ESPANYOL DE BARCELONA,2,0,0,2,9,10,0,0,1,5.00
,JAVI RODRÍGUEZ,RC CELTA,3,0,0,0,9,9,0,0,1,3.00
,JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00
,JAVI SÁNCHEZ DE FELIPE,REAL VALLADOLID CF,2,0,0,0,0,6,0,0,1,3.00
,JAVIER MANQUILLO,RC CELTA,1,0,0,0,1,9,0,0,0,9.00
,JAVIER MARTÓN,ATHLETIC CLUB,1,0,0,1,0,1,0,0,0,1.00
,IKER ÁLVAREZ,VILLARREAL B,0,0,0,0,0,0,0,0,0,0.00
,MORIBA KOUROUMA KOUROUMA,RC CELTA,3,1,1,0,19,8,0,0,0,2.67
,ILIAS AKHOMACH,VILLARREAL B,1,0,0,1,21,9,0,0,1,9.00
,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00
,IRVIN CARDONA,RCD ESPANYOL DE BARCELONA,1,0,0,3,3,6,0,0,0,6.00
,ISAAC ROMERO,SEVILLA FC,4,0,0,7,19,16,0,1,1,4.00
,ISI PALAZÓN,RAYO VALLECANO,1,0,0,1,19,12,0,0,0,12.00
,ISRAEL DOMÍNGUEZ,SEVILLA FC,0,0,0,1,1,0,0,0,0,0.00
,IVÁN BALLIU,RAYO VALLECANO,2,0,0,0,4,9,0,0,0,4.50
,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0,0,0,0,0,0,0,0.00
,IVÁN GIL,UD LAS PALMAS,0,0,0,0,0,0,0,0,0,0.00
,IVÁN MARTÍN,GIRONA FC,0,0,0,0,6,6,0,0,0,0.00
,IVÁN SÁNCHEZ AGUAYO,REAL VALLADOLID CF,3,0,0,0,19,8,0,0,0,2.67
,IVÁN VILLAR,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,IGNACIO PEÑA SOTORRES,FC BARCELONA,1,0,0,0,0,0,0,0,0,0.00
,IÑAKI WILLIAMS,ATHLETIC CLUB,0,0,0,9,21,12,1,0,1,0.00
,ÍÑIGO MARTÍNEZ,FC BARCELONA,3,0,0,0,16,10,0,0,2,3.33
,JACKSON POROZO,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00
,JACOBO RAMÓN,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,JAILSON MARQUES SIQUEIRA,RC CELTA,0,0,0,0,4,2,0,0,0,0.00
,GORKA RIVERA,GETAFE CF,0,0,0,0,1,1,0,0,0,0.00
,GUILLE FERNÁNDEZ,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,GUILLEM TRILLA,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,HAMARI TRAORÉ,REAL SOCIEDAD,0,0,0,0,3,4,0,0,0,0.00
,HORATIU MOLDOVAN,,0,0,0,0,0,0,0,0,0,0.00
,HUGO DURO,VALENCIA CF,2,0,0,4,23,19,0,1,4,9.50
,HUGO GUILLAMÓN,VALENCIA CF,2,0,0,1,4,6,0,0,0,3.00
,HUGO NOVOA,DEPORTIVO ALAVÉS,0,0,0,0,1,1,0,0,0,0.00
,HUGO SOTELO,RC CELTA,4,0,0,1,6,12,0,0,0,3.00
,HUGO ÁLVAREZ,RC CELTA,4,0,0,1,11,16,0,1,0,4.00
,HÉCTOR BELLERÍN,REAL BETIS,1,0,0,0,0,6,0,0,0,6.00
,HÉCTOR FORT,FC BARCELONA,1,0,0,0,1,3,0,0,0,3.00
,IAGO ASPAS,RC CELTA,2,1,1,5,25,12,1,0,0,6.00
,IGOR ZUBELDIA,REAL SOCIEDAD,4,0,0,0,5,20,0,1,0,5.00
,IKER ALMENA,,0,0,0,0,1,0,0,0,0,0.00
,IKER BACHILLER,CD LEGANÉS,0,0,0,0,0,0,0,0,0,0.00
,IKER BENITO,CA OSASUNA,0,0,0,0,1,1,0,0,0,0.00
,IKER CÓRDOBA,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00
,IKER LOSADA,REAL BETIS,0,0,0,0,2,1,0,0,0,0.00
,IKER MUÑOZ,CA OSASUNA,0,0,0,0,3,2,0,0,0,0.00
,FRAN GARCÍA,REAL MADRID,0,0,0,1,8,2,0,0,0,0.00
,FRANCISCO JAVIER GONZÁLEZ PÉREZ,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,FRAN PÉREZ,VALENCIA CF,0,0,0,0,2,0,0,0,0,0.00
,FRANCISCO BARBOSA VIEITES,REAL BETIS,0,0,0,0,0,0,0,0,0,0.00
,FRANCO CERVI,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,FRENKIE DE JONG,FC BARCELONA,0,0,0,0,3,5,0,0,0,0.00
,FÁBIO DANIEL SOARES SILVA,UD LAS PALMAS,4,0,0,4,19,18,0,0,1,4.50
,GABRIEL MISEHOUY,GIRONA FC,0,0,0,2,4,0,0,0,0,0.00
,PABLO PÁEZ GAVIRA,FC BARCELONA,1,0,0,0,5,5,0,0,0,5.00
,GERARD GUMBAU,RAYO VALLECANO,2,0,0,2,4,12,0,0,0,6.00
,GERARD MARTÍN,FC BARCELONA,2,0,0,0,2,6,0,0,0,3.00
,GERARD MORENO,VILLARREAL CF,0,0,0,0,2,2,0,0,1,0.00
,GERMÁN VALERA,VALENCIA CF,0,0,0,0,2,1,0,0,0,0.00
,GERÓNIMO SPINA,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00
,GIORGI MAMARDASHVILI,VALENCIA CF,0,0,0,0,2,0,0,0,0,0.00
,GIOVANI LO CELSO,REAL BETIS,1,0,0,0,37,6,0,0,1,6.00
,GIULIANO SIMEONE,ATLÉTICO DE MADRID,2,0,0,1,8,6,0,0,0,3.00
,GONZALO GARCÍA,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,GONZALO MONTIEL,SEVILLA FC,0,0,0,0,1,0,0,0,0,0.00
,GORKA GURUZETA,ATHLETIC CLUB,1,0,0,3,12,23,0,0,0,23.00
,ENRIC GARCÍA,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,ENZO BARRENECHEA,VALENCIA CF,3,0,0,0,10,7,1,0,0,2.33
,ENZO BOYOMO,CA OSASUNA,3,0,0,0,5,20,0,0,2,6.67
,ENZO LOIODICE,UD LAS PALMAS,1,0,0,1,2,5,0,0,0,5.00
,ERAY CÖMERT,REAL VALLADOLID CF,4,0,0,0,8,11,0,0,0,2.75
,ERIC BAILLY,VILLARREAL CF,2,0,0,0,1,6,0,1,0,3.00
,ERIC GARCÍA,FC BARCELONA,0,0,0,0,3,7,0,0,0,0.00
,ETIENNE ETO'O PINEDA,RAYO VALLECANO,0,0,0,0,0,0,0,0,0,0.00
,KARL EDOUARD BLAISE ETTA EYONG,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,FABIO GONZÁLEZ,UD LAS PALMAS,0,0,0,0,0,1,0,0,0,0.00
,FEDERICO VALVERDE,REAL MADRID,2,0,0,1,8,4,0,0,0,2.00
,FERLAND MENDY,REAL MADRID,1,1,0,0,5,5,0,0,0,5.00
,FERMÍN LÓPEZ,FC BARCELONA,2,0,0,2,6,5,0,0,0,2.50
,FERNANDO CALERO,RCD ESPANYOL DE BARCELONA,0,0,0,0,3,2,0,0,1,0.00
,FERNANDO LÓPEZ,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,FERNANDO PACHECO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,FERRAN TORRES,FC BARCELONA,0,1,0,2,2,3,0,0,0,0.00
,FERRÁN RUIZ MARTÍ,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,FLORIAN LEJEUNE,RAYO VALLECANO,2,0,0,0,7,18,0,0,0,9.00
,FRAN BELTRÁN,RC CELTA,1,0,0,0,2,8,0,0,1,8.00
,DIEGO LÓPEZ,VALENCIA CF,1,0,0,7,9,8,0,0,0,8.00
,DIEGO RICO,GETAFE CF,4,0,0,1,25,13,1,0,1,3.25
,DIMITRI FOULQUIER,VALENCIA CF,2,0,0,0,11,11,0,0,0,5.50
,DIMITRIOS STAMATAKIS,CA OSASUNA,0,0,0,0,0,0,0,0,0,0.00
,DINKO HORKAS,UD LAS PALMAS,1,0,0,0,0,1,0,1,0,1.00
,DJENÉ DAKONAM,GETAFE CF,5,0,0,0,10,14,0,0,0,2.80
,DJIBRIL SOW,SEVILLA FC,3,0,0,0,16,13,0,0,0,4.33
,DJORDJIJE MEDENICA,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,DODI LUKÉBAKIO,SEVILLA FC,1,0,0,10,18,13,0,0,1,13.00
,DOMINGOS DE SOUSA COUTINHO MENESES DUARTE,GETAFE CF,0,0,0,0,0,6,0,0,0,0.00
,DOMINIK GREIF,RCD MALLORCA,0,0,0,0,1,0,0,0,0,0.00
,DONNY VAN DE BEEK,GIRONA FC,3,0,0,1,2,13,0,0,0,4.33
,DÁRIO CASSIA LUÍS ESSUGO,UD LAS PALMAS,4,0,0,0,10,12,0,0,0,3.00
,EDU EXPÓSITO,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,EDUARDO CAMAVINGA,REAL MADRID,0,0,0,0,12,6,0,0,0,0.00
,EGOITZ ARANA,REAL SOCIEDAD,0,0,0,0,0,0,0,0,0,0.00
,EGOITZ MUÑOZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00
,ENDRICK FELIPE MOREIRA DE SOUSA,REAL MADRID,1,0,0,0,4,3,1,0,0,3.00
,ENEKO ORTIZ,DEPORTIVO ALAVÉS,0,0,0,0,0,0,0,0,0,0.00
,ENRIC FRANQUESA,CD LEGANÉS,1,0,0,0,6,8,0,0,0,8.00
,DANI REQUENA,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,DANI RODRÍGUEZ,RCD MALLORCA,1,0,0,4,18,16,0,0,2,16.00
,DANI VIVIAN,ATHLETIC CLUB,1,0,0,1,8,14,0,0,2,14.00
,DANIEL LUNA,RCD MALLORCA,0,0,0,0,1,0,0,0,0,0.00
,DARKO BRASANAC,CD LEGANÉS,0,0,0,2,5,18,0,0,0,0.00
,DARWIN MACHÍS,REAL VALLADOLID CF,0,0,0,2,3,2,0,0,0,0.00
,DAVID ARGÜELLES,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,DAVID JIMÉNEZ,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,DAVID LÓPEZ,GIRONA FC,2,0,0,1,9,4,0,0,0,2.00
,DAVID OTORBI,VALENCIA CF,0,0,0,0,0,0,0,0,0,0.00
,DAVID SORIA,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,DAVID TORRES,REAL VALLADOLID CF,4,0,0,0,1,8,0,0,0,2.00
,DAWDA CAMARA,GIRONA FC,0,0,0,0,0,0,0,0,0,0.00
,DENIS SUÁREZ,VILLARREAL CF,0,0,0,0,2,1,0,0,0,0.00
,DIEGO AGUADO FACIO,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,DIEGO CONDE,VILLARREAL CF,1,0,0,0,0,0,0,0,0,0.00
,DIEGO FERRER,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,DIEGO GARCÍA,CD LEGANÉS,0,0,0,3,8,5,0,0,1,0.00
,DIEGO KOCHEN,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,DIEGO LLORENTE,REAL BETIS,0,0,0,0,11,11,0,1,2,0.00
,CONOR GALLAGHER,ATLÉTICO DE MADRID,1,0,0,0,16,12,0,0,1,12.00
,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,2,0,0,0,2,10,0,0,0,5.00
,CRISTHIAN MOSQUERA,VALENCIA CF,3,0,0,0,10,6,0,1,1,2.00
,CRISTHIAN STUANI,GIRONA FC,1,0,0,3,0,7,0,0,0,7.00
,CYLE LARIN,RCD MALLORCA,2,0,0,10,11,11,0,0,3,5.50
,CÉDRIC BAKAMBU,REAL BETIS,1,0,0,4,1,4,0,0,0,4.00
,CÉSAR AZPILICUETA,ATLÉTICO DE MADRID,0,0,0,1,5,4,0,0,0,0.00
,CÉSAR FERNÁNDEZ,RC CELTA,0,0,0,0,0,0,0,0,0,0.00
,CÉSAR TÁRREGA,VALENCIA CF,3,0,0,0,1,18,0,0,0,6.00
,CÉSAR DE LA HOZ,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,DALEY BLIND,GIRONA FC,2,0,0,0,7,6,0,0,0,3.00
,DALEY SINKGRAVEN,UD LAS PALMAS,0,0,0,0,2,2,0,0,0,0.00
,DAMIÁN RODRÍGUEZ,RC CELTA,2,0,0,0,7,9,0,0,0,4.50
,DANI CARVAJAL,REAL MADRID,2,0,0,0,6,3,0,0,0,1.50
,DANI CEBALLOS,REAL MADRID,1,0,0,0,10,5,0,0,0,5.00
,DANI CÁRDENAS,RAYO VALLECANO,0,0,0,0,1,0,0,0,0,0.00
,DANI GÓMEZ,VALENCIA CF,0,0,0,9,5,4,0,0,2,0.00
,DANI OLMO,FC BARCELONA,0,0,0,1,6,7,0,0,0,0.00
,DANI PAREJO,VILLARREAL CF,4,0,0,0,15,8,0,0,0,2.00
,DANI RABA,CD LEGANÉS,0,0,0,0,13,7,0,0,0,0.00
,BRYAN ZARAGOZA,CA OSASUNA,3,0,0,4,19,8,0,0,0,2.67
,CARL STARFELT,RC CELTA,2,0,0,0,5,8,0,0,0,4.00
,CARLES ALEÑÁ,GETAFE CF,1,0,0,2,6,6,0,0,1,6.00
,CARLES PÉREZ,GETAFE CF,1,0,0,0,6,25,0,0,1,25.00
,CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,1,0,0,0,2,8,0,0,0,8.00
,CARLOS DOMÍNGUEZ,RC CELTA,0,0,0,0,3,2,0,0,0,0.00
,CARLOS GUIRAO,REAL BETIS,0,0,0,0,0,4,0,0,0,0.00
,CARLOS MARTÍN,DEPORTIVO ALAVÉS,1,0,0,1,11,11,0,0,0,11.00
,CARLOS ROMERO,RCD ESPANYOL DE BARCELONA,4,0,0,1,4,15,0,2,0,3.75
,CARLOS VICENTE,DEPORTIVO ALAVÉS,1,0,0,5,21,8,0,0,1,8.00
,JOSÉ LUIS CATALÀ VÁZQUEZ,RCD ESPANYOL DE BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,CENK ÖZKACAR,REAL VALLADOLID CF,0,0,0,0,0,1,0,0,0,0.00
,JOSÉ MARÍA ANDRES BAIXAULI,REAL MADRID,0,0,0,0,0,0,0,0,0,0.00
,CHIDERA EJUKE,SEVILLA FC,0,0,0,2,7,2,0,0,0,0.00
,CHIMY ÁVILA,REAL BETIS,4,0,0,4,14,7,0,0,0,1.75
,FRANCISCO JORGE TAVARES OLIVEIRA,RCD MALLORCA,2,0,0,0,8,4,0,0,0,2.00
,CHRISTANTUS UCHE,GETAFE CF,3,0,0,13,37,25,0,0,1,8.33
,IVÁN CANTALEJO,REAL VALLADOLID CF,1,0,0,2,3,0,0,0,0,0.00
,CLÉMENT LENGLET,ATLÉTICO DE MADRID,4,0,0,1,6,13,0,0,0,3.25
,COBA DA COSTA,GETAFE CF,0,0,0,0,0,0,0,0,0,0.00
,ARNAU SOLÀ,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,ARNAUT DANJUMA,GIRONA FC,2,0,0,9,6,7,0,1,0,3.50
,ARTHUR VERMEEREN,RB LEIPZIG,0,0,0,0,0,0,0,0,0,0.00
,ASIER VILLALIBRE,DEPORTIVO ALAVÉS,0,0,0,0,6,5,0,0,0,0.00
,ASSANE DIAO,REAL BETIS,0,0,0,2,4,4,0,0,0,0.00
,AUGUSTO BATALLA,RAYO VALLECANO,1,0,0,0,2,0,0,0,0,0.00
,AURÉLIEN TCHOUAMÉNI,REAL MADRID,1,0,0,0,9,10,0,0,1,10.00
,AXEL WITSEL,ATLÉTICO DE MADRID,0,0,0,1,2,3,0,0,0,0.00
,AYOZE PÉREZ,VILLARREAL CF,3,0,0,3,16,9,0,0,0,3.00
,BENITO RAMÍREZ,UD LAS PALMAS,1,0,0,0,5,2,0,0,0,2.00
,BERTUG YILDIRIM,GETAFE CF,5,0,0,9,13,24,1,0,2,4.80
,BEÑAT PRADOS,ATHLETIC CLUB,5,0,0,0,8,15,0,0,0,3.00
,BEÑAT TURRIENTES,REAL SOCIEDAD,2,0,0,0,9,9,0,0,0,4.50
,BOJAN MIOVSKI,GIRONA FC,0,0,0,6,8,10,1,0,0,0.00
,BORJA IGLESIAS,RC CELTA,0,0,0,8,12,13,0,0,0,0.00
,BORJA MAYORAL,GETAFE CF,0,0,0,2,1,1,0,0,0,0.00
,BRAHIM DÍAZ,REAL MADRID,0,0,0,0,10,5,0,0,0,0.00
,BRAIS MÉNDEZ,REAL SOCIEDAD,3,0,0,5,23,22,0,0,0,7.33
,BRIAN OLIVÁN,RCD ESPANYOL DE BARCELONA,0,0,0,0,2,8,0,0,2,0.00
,BRYAN GIL,GIRONA FC,2,0,0,2,17,13,0,0,3,6.50
,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,ANDRÉS CUENCA,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,ANSU FATI,FC BARCELONA,1,0,0,1,2,1,0,0,0,1.00
,ANTE BUDIMIR,CA OSASUNA,1,0,0,6,10,16,4,0,1,16.00
,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,1,0,0,4,12,5,0,0,0,5.00
,ANTONIO BLANCO,DEPORTIVO ALAVÉS,2,0,0,0,12,21,0,0,0,10.50
,ANTONIO ESPIGARES,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00
,ANTONIO RAÍLLO,RCD MALLORCA,2,0,0,1,5,21,0,0,0,10.50
,ANTONIO RÜDIGER,REAL MADRID,1,0,0,1,12,8,2,0,0,8.00
,ANTONIO SIVERA,DEPORTIVO ALAVÉS,3,0,0,0,2,2,0,2,0,0.67
,ANTONIO SÁNCHEZ,RCD MALLORCA,0,0,0,3,5,11,0,0,1,0.00
,ANTONIU ROCA,RCD ESPANYOL DE BARCELONA,2,0,0,0,3,3,0,0,0,1.50
,ANUAR TUHAMI,REAL VALLADOLID CF,3,0,0,1,13,4,1,0,0,1.33
,ARDA GÜLER,REAL MADRID,1,0,0,2,14,7,0,0,1,7.00
,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,0,0,0,2,0,0,0,0,0.00
,ARITZ ARAMBARRI,SD EIBAR,0,0,0,0,0,0,0,0,0,0.00
,ARITZ ELUSTONDO,REAL SOCIEDAD,0,0,0,0,5,4,0,0,0,0.00
,ARNAU MARTÍNEZ,GIRONA FC,2,0,0,0,12,6,0,1,0,3.00
,ARNAU RAFÚS,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,REAL VALLADOLID CF,0,0,0,0,0,0,0,0,0,0.00
,ANDRÉS CUENCA,FC BARCELONA,0,0,0,0,0,0,0,0,0,0.00
,ANSU FATI,FC BARCELONA,1,0,0,1,2,1,0,0,0,1.00
,ANTE BUDIMIR,CA OSASUNA,1,0,0,6,10,16,4,0,1,16.00
,ANTOINE GRIEZMANN,ATLÉTICO DE MADRID,1,0,0,4,12,5,0,0,0,5.00
,ANTONIO BLANCO,DEPORTIVO ALAVÉS,2,0,0,0,12,21,0,0,0,10.50
,ANTONIO ESPIGARES,VILLARREAL CF,0,0,0,0,0,0,0,0,0,0.00
,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0,0,0,0,0,0,0,0.00
,ANTONIO RAÍLLO,RCD MALLORCA,2,0,0,1,5,21,0,0,0,10.50
,ANTONIO RÜDIGER,REAL MADRID,1,0,0,1,12,8,2,0,0,8.00
,ANTONIO SIVERA,DEPORTIVO ALAVÉS,3,0,0,0,2,2,0,2,0,0.67
,ANTONIO SÁNCHEZ,RCD MALLORCA,0,0,0,3,5,11,0,0,1,0.00
,ANTONIU ROCA,RCD ESPANYOL DE BARCELONA,2,0,0,0,3,3,0,0,0,1.50
